analisis_gramatical,traduccion_literal,palabra,transliteracion
"Raíz: probablemente de una raíz semítica que significa ""padre elevado"" o ""padre de multitud"".
Clase de palabra: Sustantivo propio.
Caso: Nominativo (en la mayoría de sus apariciones, puede variar según el contexto).
Género: Masculino.
Número: Singular.
Tiempo: N/A (no aplica a sustantivos).
Voz: N/A (no aplica a sustantivos).
Modo: N/A (no aplica a sustantivos).
Otra información relevante: Es un nombre teóforo, es decir, un nombre que incluye un nombre divino (en este caso, implícitamente 'Ab', una forma abreviada de 'padre', conectado a la divinidad). Se utiliza en el Nuevo Testamento para referirse al patriarca Abraham del Antiguo Testamento, ancestral de Jesús según la genealogía cristiana.",Abraham,αβρααμ,Abraam
"Raíz: ábyssos. Clase de palabra: sustantivo. Caso: acusativo. Género: masculino. Número: singular.  No tiene tiempo, voz o modo porque es un sustantivo.",abismo,αβυσσον,abysson
"{'observaciones': 'Sustantivo de origen probablemente semítico, que describe un lugar profundo e inmenso,  frecuentemente asociado con el caos o el mundo subterráneo en la literatura griega y judeocristiana.  En el Nuevo Testamento, a menudo se relaciona con la morada de fuerzas demoníacas. El genitivo ""abyssou"" indica posesión o procedencia.  Por ejemplo, ""del abismo"", ""del profundo"", o ""proveniente del abismo"".', 'caso': 'genitivo', 'modo': 'no aplica', 'genero': 'masculino', 'clase_de_palabra': 'sustantivo', 'raiz': 'abyssos', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",del abismo,αβυσσου,abyssou
"Raíz: Probablemente de origen semítico (posiblemente arameo o hebreo), aunque la etimología exacta es incierta.  Algunos sugieren una conexión con una raíz que significa 'hombre de Dios' o 'hombre de poder'.

Clase de palabra: Sustantivo propio.

Caso: Nominativo (en los casos donde aparece como sujeto).

Género: Masculino.

Número: Singular.

Tiempo: No aplicable (sustantivo).

Voz: No aplicable (sustantivo).

Modo: No aplicable (sustantivo).

Anotaciones: Agabo es un nombre personal que aparece en Hechos 11:28 y 21:10 en el Nuevo Testamento.  En ambos pasajes, se le describe como un profeta. La ausencia de información morfológica flexiva es propia de los nombres propios. Su función sintáctica varía dependiendo del contexto, pero siempre es un elemento nominal.",Agabo,αγαβος,Agabos
"Raíz:  άγω (agō) - 'llevar, conducir'
Clase de palabra: Verbo
Tiempo: Infinitivo
Aspecto: Aoristo
Voz: Activa
Modo: Infinitivo
Número: Singular
Persona: 3rd (implicada)
Género: No aplicable a infinitivos
Caso: No aplicable a infinitivos
Observación: Se trata de un infinitivo aoristo activo que expresa la acción de llevar o conducir alguien o algo a algún lugar.  En el contexto del Nuevo Testamento, su significado puede variar dependiendo del contexto, pudiendo ser traducido como 'llevar', 'conducir', 'traer', o incluso 'guiar'.  El aoristo indica una acción puntual y completa en el pasado, pero en el contexto de un infinitivo, representa la acción misma sin especificación temporal precisa, dependiendo del verbo principal al que complementa.","llevar, conducir, traer",αγαγειν,agagein
"Raíz: άγω (agō) - 'llevar', 'conducir'
Clase de palabra: Verbo
Tiempo: Futuro
Modo: Indicativo
Voz: Activa
Persona: 2ª
Número: Plural
Género: No aplica (verbos)
Caso: No aplica (verbos)
Observación: Es la forma del futuro activo indicativo, segunda persona del plural del verbo άγω.  Indica una acción futura que realizarán los que se dirigen. Implica voluntariedad y certeza de la acción.",traeréis,αγαγετε,agagete
"Raíz: agapaō (ἀγαπάω, verbo que significa 'amar').
Clase de palabra: Sustantivo.
Caso: Nominativo.
Género: Femenino.
Número: Singular.
Tiempo: N/A (sustantivo, no tiene tiempo).
Voz: N/A (sustantivo, no tiene voz).
Modo: N/A (sustantivo, no tiene modo).
Otras observaciones:  Se trata de un sustantivo abstracto que representa un tipo de amor desinteresado, compasivo y sacrificial, un concepto clave en el cristianismo. Su uso en el Nuevo Testamento es significativo, representando el amor incondicional de Dios y el amor que los cristianos deben tener unos hacia otros.","amor, caridad",αγαγη,agapē
"Raíz: άγω (agō, llevar, conducir)
Clase de palabra: Verbo
Tiempo: Aoristo
Voz: Participio activo
Caso: Acusativo
Género: Masculino
Número: Singular
Aspectos adicionales: El participio aoristo activo en acusativo singular masculino describe una acción puntual y concluida en el pasado, que funciona como una cláusula adverbial temporal o causal, indicando la acción que precede a la acción principal de la oración.",habiendo llevado,αγαγοντα,agagonta
"Raíz: άγω (agō) - 'llevar', 'conducir'
Clase de palabra: Verbo
Tiempo: Perfecto
Voz: Activa
Modo: Participio
Caso: Acusativo
Género: Masculino
Número: Plural

El participio perfecto activo acusativo plural masculino  ""αγαγοντες"" (agagontes) funciona como un adverbio o elemento adverbial, modificando al verbo principal de la oración a la que pertenece.  Describe la acción de 'haber traído'  como una acción completada antes del tiempo del verbo principal.  La forma del participio implica que el sujeto de la oración  realizó la acción de 'traer'. El caso acusativo indica que el participio es un modificador del verbo principal y no su sujeto.",habiendo traído,αγαγοντες,agagontes
"Raíz: αγαθος (agathos)
Clase de palabra: Adjetivo
Caso: Nominativo (puede variar dependiendo del contexto, también puede ser acusativo, genitivo o dativo)
Género: Femenino
Número: Plural
Tiempo: No aplica (adjetivos no tienen tiempo)
Voz: No aplica (adjetivos no tienen voz)
Modo: No aplica (adjetivos no tienen modo)
Otra información relevante:  Es la forma femenina plural del adjetivo αγαθος (agathos), que significa ""bueno"". La forma neutra plural sería ""αγαθα"" (agatha).  El significado preciso depende del contexto gramatical y de la frase en la que se use.","buena, buenas",αγαθα,agatha
"{'observaciones': 'Forma femenina plural del adjetivo agathos en genitivo.  Describe a sustantivo femenino plural al que modifica, indicando pertenencia o relación.', 'caso': 'genitivo', 'modo': 'ninguno', 'genero': 'femenino', 'clase_de_palabra': 'adjetivo', 'raiz': 'agathos', 'voz': 'ninguna', 'numero': 'plural', 'tiempo': 'ninguno'}",buenas,αγαθας,agathas
"Raíz: αγαθός (agathos)
Clase de palabra: Adjetivo
Caso: Nominativo
Género: Femenino
Número: Singular
Tiempo: No aplica (es un adjetivo)
Voz: No aplica (es un adjetivo)
Modo: No aplica (es un adjetivo)
Otra información relevante: Forma femenina singular nominativo del adjetivo αγαθός (agathos), que significa 'bueno', 'bondadoso'.  Se utiliza a menudo para describir personas, cosas o cualidades positivas.  Su declinación sigue el patrón de los adjetivos de la primera y segunda declinación.",buena,αγαθε,agathē
"{'observaciones': ""Forma femenina singular nominativo del adjetivo ἀγαθός (agathos), que significa 'bueno'.  La terminación -η (-ē) indica el género femenino singular nominativo."", 'caso': 'nominativo', 'modo': 'No aplica a adjetivos', 'genero': 'femenino', 'clase_de_palabra': 'adjetivo', 'raiz': 'ἀγαθός (agathos)', 'voz': 'No aplica a adjetivos', 'numero': 'singular', 'tiempo': 'No aplica a adjetivos'}",buena,αγαθη,agathē
"{'observaciones': 'Forma femenina singular en acusativo del adjetivo ἀγαθός (agathos), que significa ""bueno"", ""bondadoso"".  El acusativo indica que el adjetivo funciona como objeto directo o parte de una construcción similar.', 'caso': 'acusativo', 'modo': 'no aplica', 'genero': 'femenino', 'clase_de_palabra': 'adjetivo', 'raiz': 'ἀγαθός (agathos)', 'voz': 'no aplica', 'numero': 'singular', 'tiempo': 'no aplica'}",buena,αγαθην,agathēn
"Raíz: αγαθος (agathos)
Clase de palabra: Adjetivo
Caso: Genitivo
Género: Femenino
Número: Singular
Declinación:  Adjetivo de la primera y segunda declinación
Información adicional: Forma femenina singular del genitivo del adjetivo αγαθος (agathos), que significa 'bueno', 'bondadoso'. El genitivo indica una relación de pertenencia, origen, o descripción. Puede traducirse según el contexto, por ejemplo: 'de una buena', 'de buena', 'una buena (cosa)', 'perteneciente a una buena'",buena,αγαθης,agathēs
Raíz:  ἀγαθός (agathos) - bueno + ἔργον (ergon) - obra + sufijo verbal -ειν (-ein) que indica infinitivo.  Clase de palabra: Verbo. Tiempo: Infinitivo presente.  Voz: Activa.  Modo: Infinitivo.  Número: Singular. No tiene género ni caso porque es un infinitivo.,"hacer bien, obrar bien",αγαθοεργειν,agathōergein
"{'observaciones': ""Forma dativa plural masculina del adjetivo 'agathos' (bueno).  Indica a quienes o para quienes se dirige la acción o se aplica el atributo descrito en la frase. La terminación '-ōis' es característica del dativo plural masculino en adjetivos de la primera y segunda declinación."", 'caso': 'dativo', 'modo': 'N/A', 'genero': 'masculino', 'clase_de_palabra': 'adjetivo', 'raiz': 'agathos', 'voz': 'N/A', 'numero': 'plural', 'tiempo': 'N/A'}","buenos, a los buenos",αγαθοις,agathōis
"Raíz: αγαθος (agathos)
Clase de palabra: adjetivo
Caso: Acusativo
Género: Neutro
Número: Singular
Tiempo: No aplica (adjetivo)
Voz: No aplica (adjetivo)
Modo: No aplica (adjetivo)
Otra información: Forma neutra singular del adjetivo 'agathos', que significa 'bueno' o 'bien'.  El caso acusativo indica que es el objeto directo de un verbo.","bueno, bien",αγαθον,agathon
"Raíz:  ἀγαθός (agathos) - bueno + ποιέω (poieō) - hacer. Clase de palabra: Verbo.  Voz: activa. Modo: imperativo. Tiempo: presente. Número: plural. Persona: segunda.  El verbo  ἀγαθοποιέω (agathopoieō), 'hacer el bien', se forma mediante la composición de dos palabras: el adjetivo  ἀγαθός (agathos), 'bueno', y el verbo ποιέω (poieō), 'hacer'.  En  ἀγαθοποιεῖτε (agathopoieite) tenemos la forma del imperativo presente activo de segunda persona del plural.   No hay caso ni género aplicables a un verbo en imperativo.  La terminación -τε (-te) indica la segunda persona del plural del imperativo presente activo en los verbos en -ω (-ō).",haced bien,αγαθοποιειτε,agathopoieite
"{'modo': 'infinitivo', 'clase_de_palabra': 'verbo', 'raiz': 'agathos (ἀγαθός) - bueno + poieō (ποιέω) - hacer', 'voz': 'activa', 'numero': 'singular', 'persona': 'tercera', 'tiempo': 'aoristo'}","hacer bueno, hacer el bien",αγαθοποιησαι,agathopoiesai
"La palabra ""αγαθοποιητε"" (agathopoiete) es un verbo en griego koiné.  Más específicamente:

* **Raíz:**  Compuesta de dos partes:  ""αγαθος"" (agathos), que significa ""bueno,"" y ""ποιεω"" (poieo), que significa ""hacer.""  Por lo tanto, la raíz semántica indica 'hacer bueno'.
* **Clase de palabra:** Verbo.
* **Tiempo:** Presente.
* **Modo:** Imperativo.
* **Voz:** Activa.
* **Número:** Plural.
* **Persona:** Segunda persona (vosotros).
* **Caso:** No aplica (los verbos no tienen caso).
* **Género:** No aplica (aunque se conjuga para un género gramatical, el significado no cambia en este contexto).

El sufijo ""-τε"" (-te) indica la segunda persona del plural en el imperativo presente activo. La forma es una construcción verbal compuesta, formada por la combinación de un adjetivo (agathos) y un verbo (poieo). La palabra no es un sustantivo o adjetivo, a pesar de tener componentes nominales. La función principal es la de mandar o exhortar a ""hacer lo bueno"".",hacedores de bien,αγαθοποιητε,agathopoiete
"Raíz: αγαθος (agathos) - bueno + ποιεω (poieo) - hacer.  Clase de palabra: Sustantivo.  Caso: Nominativo (puede variar según el contexto). Género: Femenino. Número: Singular.  Información adicional: Es un sustantivo compuesto que describe la acción de 'hacer el bien'.  Aparece en el Nuevo Testamento con una connotación moral y teológica, refiriéndose a las acciones buenas y piadosas.","hacer el bien, beneficencia",αγαθοποιια,agathopoia
"Raíz: αγαθος (agathos, bueno) + ποιέω (poieō, hacer).  Clase de palabra: Participio presente activo. Caso: Acusativo. Género: Masculino. Número: Plural. Tiempo: Presente. Voz: Activa. Modo: No aplica (es un participio).  El participio  describe una acción simultánea a la acción principal de la oración en la que se encuentra.  La forma acusativa indica que el participio funciona como un complemento directo u objeto directo de la oración principal.",haciendo bien,αγαθοποιουντας,agathopoiountas
"Raíz: αγαθος (agathos, bueno) + ποιεω (poieo, hacer).  Clase de palabra: Participio presente activo. Caso: Nominativo. Género: Masculino. Número: Plural. Tiempo: Presente. Voz: Activa. Modo:  No aplica (es un participio, no un verbo con modo).  El participio presente activo describe una acción que ocurre simultáneamente con la acción del verbo principal de la oración.  En este caso, 'haciendo bien' o 'haciendo lo bueno' describe el estado o la acción de los sujetos mientras realiza otra acción principal en la oración.  La forma 'αγαθοποιουντες' implica una actividad continua de hacer el bien.","haciendo bien, haciendo lo bueno",αγαθοποιουντες,agathopoiountes
"{'observaciones': ""Forma verbal participio presente activo, femenino, plural de 'agathopoieō' (αγαθοποιέω), que significa 'hacer bien'. Describe a acción continua en curso. El sufijo '-ουσαι' indica el femenino plural, participio presente activo."", 'caso': 'N/A (verbo)', 'modo': 'indicativo', 'genero': 'N/A (verbo)', 'clase_de_palabra': 'verbo', 'raiz': 'agathos (αγαθός) - bueno + poieō (ποιέω) - hacer', 'voz': 'activa', 'numero': 'plural', 'persona': 'tercera', 'tiempo': 'presente'}",haciendo bien,αγαθοποιουσαι,agathopoiousi
"Raíz: αγαθος (agathos) - bueno + ποιεω (poieō) - hacer.  Clase de palabra: Participio activo presente de un verbo compuesto. Caso: Genitivo. Género: Masculino. Número: Plural. Tiempo: Presente. Voz: Activa. Modo: No aplica a los participios.  Información adicional: Actúa como adjetivo, modificando un sustantivo implícito (por ejemplo, 'de los que hacen el bien', 'de los que hacen buenas obras'). El genitivo podría indicar posesión, origen o descripción.  El sufijo '-ōn' es la terminación característica del genitivo plural masculino de participios presentes.","haciendo bien, haciendo lo bueno",αγαθοποιων,agathopoiōn
"Raíz: ἀγαθός (agathos)
Clase de palabra: Adjetivo
Caso: Puede aparecer en varios casos (nominativo, genitivo, dativo, acusativo), dependiendo de su función en la oración.
Género: Puede ser masculino, femenino o neutro, variando su terminación según el género del sustantivo al que modifica.
Número: Puede ser singular o plural.
Tiempo: Como adjetivo, no tiene tiempo.
Voz: Como adjetivo, no tiene voz.
Modo: Como adjetivo, no tiene modo.
Información adicional:  ἀγαθός es un adjetivo de participio presente activo. Se caracteriza por expresar una cualidad inherente o permanente. Puede usarse para referirse a personas, cosas o acciones, mostrando bondad, excelencia o valor moral.","bueno, bueno",αγαθος,agathos
"Raíz: αγαθος (agathos)
Clase de palabra: Adjetivo
Caso: Genitivo
Género: Masculino
Número: Singular
Declinación: Adjetivos en -ος (-os)","bueno, del bueno",αγαθου,agathou
"{'observaciones': ""El verbo 'agathourgō' (ἀγαθουργῶ) se forma a partir de la combinación de 'agathos' (ἀγαθός), que significa 'bueno', y 'ergon' (ἔργον), que significa 'obra' o 'acción'.  El sufijo '-ōn' (-ῶν) indica el participio presente activo, singular, masculino, nominativo.  Este participio se usa a menudo adjetivativamente, describiendo a alguien que está constantemente involucrado en acciones buenas.  Se encuentra frecuentemente en el Nuevo Testamento,  descriptivo de la vida piadosa."", 'caso': 'nominativo', 'modo': 'indicativo', 'genero': 'masculino', 'clase_de_palabra': 'participio presente activo', 'raiz': 'agathos (ἀγαθός) + ergon (ἔργον)', 'voz': 'activa', 'numero': 'singular', 'tiempo': 'presente'}","haciendo el bien, obrando bien",αγαθουργων,agathourgōn
"Raíz: αγαθος (agathos) 
Clase de palabra: Adjetivo
Caso: Acusativo
Género: Masculino
Número: Plural
Tiempo: No aplica (adjetivo)
Voz: No aplica (adjetivo)
Modo: No aplica (adjetivo)
Declinación: Adjetivo de la primera y segunda declinación. La forma ""agathous"" es el acusativo plural masculino.  Indica los objetos que reciben la acción del verbo en una oración.  La terminación ""-ous""  es característica del acusativo plural masculino de adjetivos de este tipo.",buenos,αγαθους,agathous
"{'observaciones': ""Forma dativa singular masculino del adjetivo ἀγαθός (agathos), que significa 'bueno', 'bondadoso'.  El dativo indica un propósito indirecto o un beneficiario.  En el Nuevo Testamento, a menudo se usa para describir el carácter de Dios o las acciones piadosas."", 'caso': 'dativo', 'modo': 'No aplica a adjetivos', 'genero': 'masculino', 'clase_de_palabra': 'adjetivo', 'raiz': 'ἀγαθός (agathos)', 'voz': 'No aplica a adjetivos', 'numero': 'singular', 'tiempo': 'No aplica a adjetivos'}",bueno,αγαθω,agathō
"Raíz: αγαθος (agathos)
Clase de palabra: adjetivo
Caso: Genitivo
Género: Masculino
Número: Plural
Declinación: Adjetivo de la primera y segunda declinación","buenos, bienes",αγαθων,agathōn
"Raíz: αγαθος (agathos) - bueno
Clase de palabra: Sustantivo
Caso: Nominativo
Acusativo
Género: Femenino
Número: Singular
Declinación: Sustantivo en -η (eta), tercera declinación
Otras observaciones:  La palabra  'agathosynē' es un sustantivo abstracto que denota una cualidad o característica,  la cualidad de ser bueno. Es un sustantivo que refleja un estado o condición de bondad y no una acción. Puede referirse tanto a la bondad inherente como a actos de bondad. Su uso en el Nuevo Testamento suele enfatizar la bondad activa y la benevolencia de Dios o de los seres humanos,  a menudo relacionada con la gracia y la misericordia divina.","bondad, benevolencia, amabilidad",αγαθωσυνη,agathosynē
"Raíz: αγαθος (agathos, bueno). Clase de palabra: Sustantivo. Caso: Genitivo. Género: Femenino. Número: Singular.  No aplica tiempo, voz o modo porque es un sustantivo.","bondad, benignidad",αγαθωσυνης,agathosynēs
"Raíz: αγαλλιος (agallios, que significa 'alegría, regocijo').
Clase de palabra: Verbo.
Tiempo: Aoristo.
Voz: Pasivo.
Modo: Infinitivo.
Número: Singular.",regocijarse,αγαλλιαθηναι,agalliathēnai
"Raíz: αγαλλιάω (agalliao) - regocijarse
Clase de palabra: Verbo
Tiempo: Futuro
Modo: Indicativo
Voz: Media
Persona: 3ª
Número: Singular
Género: No aplica (verbo)
Caso: No aplica (verbo)
Observación: La terminación -σει (-sei) es característica del futuro medio/pasivo de los verbos en -άω (-ao) en griego koiné.  El significado implica una acción interna, un regocijo del sujeto. La forma media indica que el sujeto realiza la acción sobre sí mismo.",se regocijará,αγαλλιασει,agalliasei
"Raíz: αγαλλίω (agalliō) - regocijar, alegrarse.
Clase de palabra: Sustantivo.
Caso: Genitivo.
Género: Femenino.
Número: Singular.
Declinación:  Es un sustantivo de la tercera declinación, con la terminación genitivo singular -eos característica de los sustantivos femeninos de esa declinación.
Tiempo: N/A (no aplicable a sustantivos)
Voz: N/A (no aplicable a sustantivos)
Modo: N/A (no aplicable a sustantivos)
Otra información relevante: Se deriva del verbo αγαλλίω (agalliō) y expresa el estado o sentimiento de gran alegría y regocijo.  El genitivo indica una relación de posesión, origen o pertenencia; en este contexto, probablemente indica 'de gozo' o 'de regocijo', definiendo o modificando otro sustantivo en la frase donde se encuentre.","de gozo, de regocijo",αγαλλιασεως,agalliaseōs
"Raíz: αγαλλιάω (agalliao) 
Clase de palabra: Verbo
Tiempo: Aoristo
Modo: Imperativo
Voz: Media
Número: Plural
Persona: Segunda
Género: No aplica (imperativo)

Explicación: El verbo αγαλλιάω (agalliao) significa ""regocijarse"", ""alegrarse"" o ""exultar"".  En este caso, aparece en aoristo imperativo medio plural (segunda persona), lo que indica una orden o exhortación dirigida a un grupo de personas para que experimenten gozo o alegría.  La forma media enfatiza que la alegría es experimentada por el sujeto,  no causada por él sobre alguien o algo. El aoristo indica una acción puntual, en este caso una invitación a un gozo inmediato.",regocijaos,αγαλλιασθε,agalliasthē
"Raíz: αγαλλιος (agallios) - relacionado con el verbo αγαλλομαι (agallomai, regocijarse).
Clase de palabra: Sustantivo.
Caso: Nominativo (en este caso, aunque puede variar dependiendo del contexto).
Género: Femenino.
Número: Singular.
Tiempo: No aplica (es un sustantivo).
Voz: No aplica (es un sustantivo).
Modo: No aplica (es un sustantivo).
Información adicional:  El sustantivo ""agalliasis"" describe un estado de gran alegría, gozo o exultación.  Su uso en el Nuevo Testamento suele enfatizar una alegría profunda y llena de entusiasmo, a menudo relacionada con la fe y la salvación.","regocijo, alegría, exultación",αγαλλιασις,agalliasis
"{'modo': 'imperativo', 'clase_de_palabra': 'verbo', 'raiz': 'agalliao', 'voz': 'activa', 'numero': 'plural', 'persona': '2', 'tiempo': 'presente'}",regocijaos,αγαλλιατε,agalliate
"{'modo': 'subjuntivo', 'clase_de_palabra': 'verbo', 'raiz': 'agallomai', 'voz': 'activa', 'numero': 'plural', 'persona': 'primera', 'tiempo': 'presente'}",regocijémonos,αγαλλιωμεν,agalliōmen
"{'caso': 'nominativo', 'modo': 'indicativo', 'genero': 'masculino', 'clase_de_palabra': 'participio', 'raiz': 'agallomai', 'voz': 'media', 'numero': 'plural', 'tiempo': 'presente'}",regocijándose,αγαλλιωμενοι,agalliōmenoi
"Raíz: γαμος (gamos, matrimonio)
Clase de palabra: Adjetivo
Caso: Dativo
Género: Masculino
Número: Plural
Tiempo: No aplica (adjetivo)
Voz: No aplica (adjetivo)
Modo: No aplica (adjetivo)
Otras observaciones: Forma plural dativa masculina del adjetivo ἀγαμος (agamos), que significa 'sin casar', 'soltero'.  El dativo en este contexto podría indicar a quién o para quién se aplica la condición de soltería, dependiendo del contexto de la oración.  Se refiere a hombres solteros.","solteros, sin casar",αγαμοις,agamois
"Raíz: γαμος (gamos, matrimonio). Clase de palabra: adjetivo. Caso: Nominativo. Género: Masculino. Número: Singular.  No tiene tiempo, voz o modo, ya que es un adjetivo y no un verbo.  Descripción adicional:  Es un adjetivo de participio, aunque no tiene la terminación típica de un participio presente o pasado. Su significado se basa en la negación 'a-'  (alfa privativo)  unido a 'gamos' (matrimonio), indicando la ausencia de matrimonio o estado soltero.","soltero, sin esposa, no casado",αγαμος,agamos
"Raíz:  ἀγανάκτεω (aganaktēō)
Clase de palabra: Verbo
Tiempo: Presente
Voz: Activa
Modo: Infinitivo
Aspecto:  Imperfectivo (acción continua o repetida)
Persona: Tercera persona (implicada por el infinitivo)
Número: Singular
Observación: El verbo describe un estado de enojo o indignación, a menudo en respuesta a una injusticia percibida. El infinitivo presente se usa para expresar la acción como un concepto general o una posibilidad, sin especificar tiempo o sujeto claramente. En el Nuevo Testamento, se suele utilizar para expresar el sentimiento o la reacción de alguien, a veces en relación con otras acciones.","estar enojado, indignarse, irritarse",αγανακτειν,aganaktein
"Raíz: ἀγανακτέω (aganaktēō, ""enojarse"").
Clase de palabra: Sustantivo.
Caso: Acusativo.
Género: Femenino.
Número: Singular.
Tiempo: No aplica a sustantivos.
Voz: No aplica a sustantivos.
Modo: No aplica a sustantivos.
Otra información relevante:  Es un sustantivo derivado del verbo ἀγανακτέω, que describe un estado de intensa irritación o indignación. El acusativo indica que funciona como objeto directo de un verbo en una oración.  La forma es un sustantivo abstracto,  representando una emoción o sentimiento.","indignación, enojo, irritación",αγανακτησιν,aganaktēsin
